Brand,Name,Description,Category,Subcategory,Availability,Review notes
Black Phoenix,Dana O'Shee,"Offerings of milk, honey and sweet grains",Bewitching Brews,na,Decision needed,0
Black Phoenix,"Dead Leaves, Raw Leather, Bourbon Vanilla, and Clove","Dead Leaves, Raw Leather, Bourbon Vanilla, and Clove",Halloween,Pile of Leaves 2016,Decision needed,0
Black Phoenix,Delirium,"Non compos mentis, indeed! A contrary, conflicted scent, bubbling with merry madness. Contains apple, rose, and lemon.",Bewitching Brews,na,Decision needed,0
Black Phoenix,Desire,"bittersweet neroli, black patchouli and black musk, gilded by apple, bergamot, blood red rose, teak, and vanilla.",Ars Amatoria,na,Decision needed,0
Black Phoenix,Devil's Night,"This is the scent of autumn night, fires in the distance, with a touch of boozy swoon, playful sugar and thuggish musk.",Halloween,2014,Decision needed,0
Black Phoenix,Diamond Star,"Ambergris accord, guiac wood, white benzoin, immortelle, and Somalian myrrh.",Only Lovers Left Alive,Soundtrack,Decision needed,0
Black Phoenix,The Dormouse,A dizzying eddy of four teas brushed with light herbs and a breath of peony -- Reviews: green apple,Mad Tea Party,na,Decision needed,0
Black Phoenix,Dragon's Blood,"Powerful, commanding, blazing with strength.",Ars Draconis,na,Decision needed,0
Black Phoenix,Dragon's Bone,"The dry, thin scent of a draconic ossuary. Dragon’s blood resin with white sandalwood, dusty orris and crisp blondewood.",Ars Draconis,na,Decision needed,0
Black Phoenix,Embalming Fluid,"A light, pure scent: white musk, green tea, aloe and lemon.",Ars Moriendi,na,Decision needed,0
Black Phoenix,Embalming Fluid,"A light, pure scent: white musk, green tea, aloe and lemon.",Ars Moriendi,na,Decision needed,0
Black Phoenix,Eve w/Sage Fuck Up,"The Irish moss, yarrow, and hawthorn of the Iron Age Britons, ancient Rome’s omphacium and honey, myrrh and calamus from Egypt, the frankincense of the Florentine Renaissance, white sandalwood from the Far East, Moroccan saffron and rose water(?), a swirl of incense, and, accidentally, clary sage and Dalmatian sage",Only Lovers Left Alive,Character Scents,Decision needed,0
Black Phoenix,An Excerpt from Speculum Heroicum Principis Omnium Temporum Poëtarum Homeri,"Brazilian vetiver, dark myrrh, peru balsam, laurel leaf, white sage, and cedar.",Lupercalia,Liber Amicorum - Joannes Carolus Erlenwein 2018,Decision needed,0
Black Phoenix,Fae Forest,"Mist-shrouded woods: Siberian fir needles, white pine bark, aspen leaf, wild lily, bergamot, wood violet, thimbleberry, sun-star, golden bell, snowdrop, heartsease, and bloodroot.",RPG,na,Decision needed,0
Black Phoenix,Follow Me Boy,Sunny lemon and light honey.,Conjure Bag,na,Decision needed,0
Black Phoenix,The Forest Reverie,"A sunlit ancient forest, dotted with wild roses, grape vine, and queenly lilies, clothed in swirls of opium smoke.",Bewitching Brews,na,Decision needed,In imp: *wrinkles nose* This doesn't seem promising
Black Phoenix,Fortuna Mala,"A hymn to propitiate the gods of misfortune and honor the balance of forces in the universe: vetiver, patchouli, and black clove.",Hymn to Fortuna,2018,Decision needed,Bottle: that's a lot lighter than expected. Almost grassy. On: cinnamony.
Black Phoenix,Galvanic Goggles,"Metallic notes with Indian musk, tobacco flower, and African balsam.",Steamworks,na,Decision needed,0
Black Phoenix,Goblin of Yuletide Yet To Come,"Frankincense, myrrh, styrax, oakmoss and clove.",Yule,Last of the Spirits 2008,Decision needed,0
Black Phoenix,Grand Guignol,"a shot of sweet apricot brandy; just enough to settle your nerves after a ghoulish, gory brush with the macabre.",Bewitching Brews,na,Decision needed,0
Black Phoenix,Half-Elf,"White sandalwood, beeswax, white tea leaf, oud, and a hint of sophisticated urban musk.",RPG Series,Races,Decision needed,0
Black Phoenix,Harlot,"Somalian rose, Moroccan rose and Bulgar rose with a sultry dribble of cinnamon.",Ars Amatoria,na,Decision needed,0
Black Phoenix,Haunted,Soft golden amber darkened with a touch of murky black musk,Ars Moriendi,na,Decision needed,0
Black Phoenix,Haunted Bonbon,Dark chocolate with thick golden amber and murky black musk.,Lupercalia,Box of Bonbons 2015,Decision needed,0
Black Phoenix,Haute Macabre,"Oak leaf, bourbon vanilla, almond husk, and black leather accord darkened by a 13-year aged black patchouli.",Haute Macabre,na,Decision needed,0
Black Phoenix,Hay Moon (2008),"Hay absolute, tall grasses, dry honey, mallow, cardamom, amber, and wheat.",A Little Lunacy,2008-06,Decision needed,0
Black Phoenix,Hoîru,"Bourbon vanilla and suede leather, tonka and patchouli, pale amber and blackened tea leaf, coconut husk and cashmere.",Lupercalia,Shungas 2017,Decision needed,"There's something in here that feels perfumey and headachey. Not sure, as I thought I liked all these notes ."
Black Phoenix,Jolly Roger,"Sea spray with an undercurrent of leather, Bay Rum, and salty, dry woods.",Bewitching Brews,na,Decision needed,0
Black Phoenix,Kitsune-Tsuki,"Asian plum, orchid, daffodil, jasmine and white musk.",Diabolus,na,Decision needed,0
Black Phoenix,La Léthé,"Red musk and sweat-damp golden skin musk with labdanum, golden amber, nutmeg, tobacco absolute, black orchid, and hemlock accord.",Ars Amatoria,na,Decision needed,0
For Strange Women,London Fog,"Earl Grey, vanilla, honey, sweet, black tea, bergamot",na,na,Decision needed,0
Black Phoenix,Lust,"Uncontrollable passion and insatiable sexual desire: red musk, patchouli, ylang ylang and myrrh.",Sin & Salvation,Seven Deadly Sins,Decision needed,0
Black Phoenix,Lysander,"Lilac musk, tonka, wood violet, and urbane lime rind, with a Venus-kissed tangle of myrtle, blackberry leaf, and benzoin.",Illyria,na,Decision needed,0
Black Phoenix,Madrid (fka Old Madrid),"Bold red wine, mimosa, and a trickle of clove.",Wanderlust,na,Decision needed,0
Black Phoenix,Maenad,"sweet strawberry and orange blossom distorted by carnation, black poppy and hibiscus.",Diabolus,na,Decision needed,0
Black Phoenix,Malice,"Ylang ylang, clove, Indonesian red patchouli, and dark myrrh.",Diabolus,na,Decision needed,0
Black Phoenix,Manhattan,"Sexuality, power, confidence. A meeting of modern, sleek elegance and rich, passionate history: sheer amber, black leather, white mint, lemon peel, white tea, grapefruit, kush, teakwood and orchid.",Wanderlust,na,Decision needed,0
Black Phoenix,Mars,"Dynamic energy - Lust - Enthusiasm - Resolution - Courage - Physical strength - Mental acuity - Comraderie - Engineering - Any work with metals - Victory - Conquest - War - Power - Domination - Military matters - Daring deeds -- From reviews: cinnamon, clove, sandalwood, pepper",Celestials,na,Decision needed,0
Black Phoenix,Megaera,"The Unwilling, The Jealous One -- Orris, black amber, bergamot, plum and grapefruit.",Excolo,The Kindly Ones,Decision needed,0
Deconstructing Eden,Obsess,"Dedicated to this dark and unhealthy version of love. Obsess is a deep and brooding mix of dark woods and musk, a drop of patchouli, tolu balsam, labdanum resin, oakmoss, spikenard, and aromatic green herbs.",Love,Dark Series,Decision needed,0
Black Phoenix,Odin,"His scent is dry elm bark, amaranth, warrior’s musk, and Odin’s Nine Herbs of Power.",Excolo,na,Decision needed,0
Black Phoenix,Odin,"His scent is dry elm bark, amaranth, warrior’s musk, and Odin’s Nine Herbs of Power.",Excolo,na,Decision needed,0
Black Phoenix,Old Demons of the First Class,"Siberian musk, black clove, opoponax, tonka, black pepper, and neroli",Märchen,The Elfin Hill,Decision needed,0
Black Phoenix,Oleander Honey,"Honey, oleander",Rappaccini's Garden,Rappaccini's Apiary,Decision needed,0
Enchanticals,Opiate,"I adore blending this particular oil in more romantic and moody perfumes so, I chose my favorite sweet tobacco (Bulgarian tobacco) to play nicely with Bulgarian black currants, teak wood, sandalwood, and my all time favorite Madagascar vanilla. Unisex Scent",na,na,Decision needed,0
Black Phoenix,Pele,"Embodies her gentler, benign aspect as the capricious Goddess of Dance: muguet and Hawaiian white ginger enveloped by warm, damp tropical blooms. ",Excolo,na,Decision needed,0
Nocturne Alchemy,Pharaoh Ducksses,VA Strawberry Smoothie Accord (created just for this blend) drizzled with Sapphire (Amber Musk) and Crystal (Vanilla Musk) and dusted with Graveyard Musk and Egyptian Musk.,Tomb,na,Decision needed,0
Black Phoenix,Practical Occultism,"Precious wildcrafted Indian frankincense with myrrh, cassia, sandarac, palmarosa, white sage, red sandalwood, elemi, and drops of star anise bound with grains of kyphi.",Yule,Evening with the Spirits 2017,Decision needed,0
Black Phoenix,Progressus,"a blend of Solar oils believed to generate abundance, augment success, and bestow good fortune, including golden amber, honey laurel, heliotrope, saffron, and Atlas cedar",Gifts with donation or purchase,na,Decision needed,0
Deconstructing Eden,The Raven,"Leather bound books, the dying embers of a fire, cold winter air and dark wings.",na,na,Decision needed,0
Black Phoenix,Red Devil,"Rose, resins, myrrh, sandalwood",Conjure Bag,na,Decision needed,0
Black Phoenix,The Robotic Scarab,"Polished metallic notes, glossy leather, frankincense, star anise, and thin lubricating oils.",Steamworks,na,Decision needed,0
Black Phoenix,Rogue,"Soft, well-worn black leather, hemp, and rosin.",RPG Series,Classes,Decision needed,0
Black Phoenix,The Rose,"red rose petals, fresh sap, and the sharp green scent of stem and leaf",Märchen,Beauty and the Beast,Decision needed,0
Black Phoenix,Scherezade,Saffron and Middle Eastern spices swirled through sensual red musk,Bewitching Brews,na,Decision needed,0
Black Phoenix,Scherezade,Saffron and Middle Eastern spices swirled through sensual red musk,Bewitching Brews,na,Decision needed,0
Traveling Vardo,Seraphim,This is a darkly angelic blend of soft white florals scattered over a bed of black vanilla and Egyptian musk. Vanilla with a bite!,na,na,Decision needed,0
Black Phoenix,Server Gremlins,"Reviews: Green, pepper, juniper, musk, cinnamon, leather, radish(?)",Gifts with donation or purchase,na,Decision needed,0
Black Phoenix,Sherlock Holmes,"A fastidiously clean scent, with a dash of pipe and cigarette tobacco. Faintly beneath, you catch the fragrance of a smear of greasepaint, a stray horsehair, and a whisper of Moroccan leather and rosin.",221B Baker St,na,Decision needed,0
Black Phoenix,Silence,French lavender and white gardenia with Himalayan cedar.,Gifts with donation or purchase,na,Decision needed,0
Deconstructing Eden,Snow Queen,"A companion scent to my Ice King fragrance, this delicate and sweet tribute to the Snow Queen is powder soft snow, crisp cold air blowing through pine trees and a sweet dry down of vanilla.",na,na,Decision needed,0
Black Phoenix,Somnus (V),"Lavender, rose, herbal base. Works very well.",Somnium,na,Decision needed,0
Black Phoenix,Somnus (V),"Lavender, rose, herbal base. Works very well.",Somnium,na,Decision needed,0
Black Phoenix,Third Charm,"There’s magic afoot: fiery red musk, luminous elemi, East Indian patchouli, champaca flower, cedar incense, ho wood, and hemlock accord sweetened with a peculiar sweet honey.",Halloween,2012,Decision needed,0
Black Phoenix,This is Your Wilderness,"Honeyed patchouli with cyprus, black pine and tobacco absolute",Only Lovers Left Alive,Soundtrack,Decision needed,0
Black Phoenix,Titus Andronicus,"Dark musk and black amber with frankincense, red sandalwood, neroli and bergamot.",Illyria,na,Decision needed,0
Black Phoenix,Van Van ,"Sweet grass, light musky vanilla",Conjure Bag,na,Decision needed,0
Black Phoenix,Verdandi,Deep herbs and apple with black amber.,Excolo,na,Decision needed,0
Black Phoenix,White Rabbit,"Strong black tea and milk with white pepper, ginger, honey and vanilla, spilled over the crisp scent of clean linen.",Mad Tea Party,na,Decision needed,0
Black Phoenix,The White Rider,White leather and sandalwood.,Märchen,Vasilissa the Beautiful,Decision needed,0
Black Phoenix,The White Rider,White leather and sandalwood.,Märchen,Vasilissa the Beautiful,Decision needed,0
Black Phoenix,The White Rider,White leather and sandalwood.,Märchen,Vasilissa the Beautiful,Decision needed,0
Black Phoenix,A Wild and Naughty Girl,"Clove, tobacco, sweet red patchouli, and chocolate",Yule,Snow Queen IV 2017,Decision needed,"Bottle: There's something like sweet feed---deeply brown and almost throat scratchy. Maybe the tobacco, which I fear will explode on me."
Black Phoenix,Y'ha-nthlei,"A swirling, lightless, effervescent scent: the deepest marine notes with bergamot, eucalyptus and foamy ambergris.",A Picnic in Arkham,na,Decision needed,0
Black Phoenix,504 Gateway Time-out,"Reviews: mint, soft floral, spice underneath. Green. Pine/citrus/snow",Gifts with donation or purchase,na,Decision needed,0
Black Phoenix,Odin,"His scent is dry elm bark, amaranth, warrior’s musk, and Odin’s Nine Herbs of Power.",Excolo,na,Decision needed,0
Black Phoenix,Scherezade,Saffron and Middle Eastern spices swirled through sensual red musk,Bewitching Brews,na,Decision needed,0
Black Phoenix,The Ring,"Antiqued amber, frankincense, patchouli, hay, oakmoss, skin musk, and white mint.",Lupercalia,2011,Incoming,0
Black Phoenix,White Bees Swarming,Frost-dusted honey.,Yule,Snow Queen 2014,Incoming,0
Black Phoenix,#20 Love Oil,"Sharply herbal and almond, dries to soft powders",Conjure Bag,na,Info,0
Black Phoenix,0. The Fool,"apple blossom, peppermint, allspice, and yellow sandalwood speckled with grave loam and clods of grave dirt.",Neil Gaiman,15 Painted Cards from a Vampire Tarot,Info,0
Black Phoenix,13 Hours,"A scent of profound foreboding: dusty black stone, dried rosehips, black moss, and creeping ivy. ",Labyrinth,na,Info,0
Black Phoenix,2006: Fruit Phoenix,"Snake Oil with Schwarzer Mond’s terebinth, a swish of Krampus’ switches, black currant, pomelo, and chthonic black pomegranate.",Anniversary,2017,Info,0
Black Phoenix,2007: Wood Phoenix,"This Phoenix is a combination of the Snake Oil and Dorian that Teddy and I wore at our wedding, the red wine we bled into and shared during the ceremony, a drop of lucky honey mead, and the heart of Snow Glass Apples lacquered over pale salt-splashed wood, with a hint of the green walnut I could never get quite right.",Anniversary,2017,Info,0
Black Phoenix,2008: Sugar Phoenix,"Lilith's beloved lavender coated with sugar crystals, crawdad-bright grapefruit, and a pop of iridescent, loathsome Mi-Go musk.",Anniversary,2017,Info,0
Black Phoenix,2009: Wool Phoenix,"Cigar smoke wafting over Georgia peaches, black goat wool, and a dollop of Mason and Jenkins Port jelly.",Anniversary,2017,Info,0
Black Phoenix,2010: Salt Phoenix,"Mist-veiled lilac and salt spray with osmanthus, white jasmine, and icy lavender.",Anniversary,2017,Info,0
Black Phoenix,2012: Aluminum Phoenix,"A fraggle-shaggy bright scent with a sinister goblin shadow: red currant and King mandarin with a white musk fougere, sweet dried fruits, and smoky myrrh-infused oudh.",Anniversary,2017,Info,0
Black Phoenix,2015: Lace Phoenix,A cursed carnival camped in the foothills beneath a haunted estate: a curl of fortune tellers incense and spun sugar drifting past a crumbling manor.,Anniversary,2017,Info,0
Black Phoenix,2016: Ivory Phoenix,"A scent of stubborn hope, a light in the dark: golden frankincense and clove, a drop of fiery cinnamon, and white cognac.",Anniversary,2017,Info,0
Black Phoenix,413 U.S. 15 / Miller vs. California (2018),"Leather, cognac, fig, ripe berry, and cream, stuffed into a plain brown paper bag.",Lupercalia,2018,Info,0
Black Phoenix,50,"Olive leaf, osmanthus, bois de rose, and lemon verbena.",Lupercalia,Bonbons 2016,Info,0
Black Phoenix,51,"green mandarin, neroli, honeydew, white amber, guava, freesia, white and green musks hovering over desert scrub, smashed wood, and the dry, biting scent of night air over the Groom Lake salt flats. ",Wanderlust,na,Info,0
Black Phoenix,Abduction of Proserpine on a Unicorn,"White sandalwood, black currant, and pomegranate.",Art of the Unicorn,0,Info,0
Black Phoenix,Absurd Suggestive Card Game,"When you need a change of pace from Strip Twister: lemon candies, orange suckers, and strawberry sugar.",Lupercalia,For Entertainment Purposes Only 2018,Info,0
Black Phoenix,Accursed Casca,"ambergris, verbena, neroli, and a glint of razor-sharp elemi.",Idus Martiae,2017,Info,0
Black Phoenix,Aeronwen,"Fig, dark myrrh, amber, redwood, nutmeg, tarragon, black musk, and sweet orange.",Carnaval Diabolique,Act 4: The Interlude: The Grindhouse,Info,0
Black Phoenix,Aeval,"sage, sweet pea, bold pale musk and warm tonka",Bewitching Brews,na,Info,0
Black Phoenix,Aglaea,"Three golden ambers, bright musk, peach wine and myrtle",Excolo,na,Info,0
Black Phoenix,Agnes Nutter,"Gunpowder, charred wood, smoke, and rusty nails.",Neil Gaiman,Good Omens,Info,0
Black Phoenix,Agrat-Bat-Mahlaht,"Amber, cream accord, white honey, apple blossom, skin musk, caramel, and teak.",Carnaval Diabolique,Act 4: The Interlude: The Grindhouse,Info,0
Black Phoenix,Aizen-Myoo,"Yuzu, kaki, and mikan with cherry blossom and black tea.",Excolo,na,Info,0
Black Phoenix,Akuma,"blood orange, neroli, and raspberry.",Diabolus,na,Info,0
Black Phoenix,Al-Shairan,"clove, peach and orange with cinnamon, patchouli and dark incense notes. ",Excolo,na,Info,0
Black Phoenix,Alabaster Vulva,"White amber and sheer vanilla, orris butter, Italian bergamot, and narcissus.",Lupercalia,Shungas 2018,Info,0
Black Phoenix,Alisz,"Spun sugar, frankincense, white rose, mallow root, red currant, and vanilla mint.",Carnaval Diabolique,Act 4: The Interlude: The Grindhouse,Info,0
Black Phoenix,All Night Long,Cinnamon. Almond. ,Conjure Bag,na,Info,0
Black Phoenix,All Souls 2017,"An incense blend that invokes the higher qualities of mercy and compassion, mingled with the soft, sugared currant scent of offertory soul cakes.",Halloween,2017,Info,0
Black Phoenix,Allegory of Chastity,"Blushing rosehips, pink rose petals, and vanilla cream with white jasmine and a drop of bergamot.",Art of the Unicorn,0,Info,0
Black Phoenix,Alternative Facts,"(ACLU) - Sugar-crusted vanilla, a firecracker-blast of cherry and sour lemon, a hint of scuttling spiders, encroaching fog, and trumpets of bombast, bluff, and bluster.",Activism,2017,Info,0
Black Phoenix,Ameles Potamos,The River of Unmindfulness: bittersweet black water swollen with forgotten tears.,Wanderlust,na,Info,0
Black Phoenix,America's New Gods,"Scorched wires, silicone, tar, chlorine, wax, rubber, and exhaust.",Neil Gaiman,American Gods II,Info,0
Black Phoenix,Amsterdam (fka Old Amsterdam),"Tulips, peony, fresh flowing water and crisp green grasses.",Wanderlust,na,Info,0
Black Phoenix,Anathema,"Black opium, with vetivert and honeysuckle",Sin & Salvation,na,Info,0
Black Phoenix,Anteros,"throbbing red musk and shimmering chypre with saffron, sweet patchouli, Italian bergamot, red currant, and vanilla bean.",Excolo,na,Info,0
Black Phoenix,Antique Lace,"dry flowers, aged linens, and the faint breath of long-faded perfumes",Bewitching Brews,na,Info,0
Black Phoenix,"Antonino, the Carny Talker","White musk, wild plum, vetiver, black coconut, verbena, fig, and lavender.",Carnaval Diabolique,Act 2: Fiat Nox,Info,0
Black Phoenix,The Apparition,"white sandalwood, immortelle, zdravetz, and oudh.",Halloween,2017,Info,0
Black Phoenix,Apple Butter Rum,"Spiced rum with cinnamon, apple butter, nutmeg, and thick vanilla cream.",Halloween,2017,Info,0
Black Phoenix,Arachne,"pallid flowers, dusty woods and soft herbs",Bewitching Brews,na,Info,0
Black Phoenix,"Arachnina, The Spider Girl","A swirling, hypnotic perfume of black currant, poppy, red and black musk, lilies, nicotiana, tobacco tar, and patchouli.",Carnaval Diabolique,Act 3: Fiat Nox,Info,0
Black Phoenix,Aristocratic Prostitutes in Languid Repose,"Poppy smoke, velvet jasmine, sweet three-year aged patchouli, and black plum.",Lupercalia,Shungas 2018,Info,0
Black Phoenix,Ashlultum,"Babylonian musk, vanilla tea, tonka, tobacco, coconut, hyssop, and lilac",Carnaval Diabolique,Act 4: The Interlude: The Grindhouse,Info,0
Black Phoenix,Asp Viper,"Snake Oil with King mandarin, myrrh, and almond.",Carnaval Diabolique,Act 3: Fiat Nox: The Snakepit,Info,0
Black Phoenix,Aunt Caroline's Joy Mojo,Super sweet strawberry and bubble gum. Fruity and sugary.,Conjure Bag,na,Info,0
Black Phoenix,Australian Copperhead,"Snake Oil with acai berry, amber, cardamom, white sandalwood, neroli, and smoked vanilla.",Carnaval Diabolique,Act 3: Fiat Nox: The Snakepit,Info,0
Black Phoenix,Ava,"Sheer vanilla musk with tuberose, red mandarin, and the sweet poison of white almond",Only Lovers Left Alive,Character Scents,Info,0
Black Phoenix,Ave Maria Gratia Plena,"Rosewood with Sicilian lemon peel, red Mysore sandalwood, pale musks, sweet mountain sage and a dusting of lily, night-blooming jasmine and orris.",Ars Amatoria,na,Info,0
Black Phoenix,Aziraphale,"Ethereal musk, blonde woods, and dusty Bible accord. ",Neil Gaiman,Good Omens,Info,0
Black Phoenix,Baba Yaga,"Spell-soaked herbs and flowers, cold iron, broom twigs, bundles of moss and patchouli root, and moth dust.",Märchen,Vasilissa the Beautiful,Info,0
Black Phoenix,Baghdad,"Amber, saffron and bergamot with mandarin, nutmeg, Bulgar rose, musk and sandalwood.",Wanderlust,na,Info,0
Black Phoenix,The Balcony,"Bourbon vetiver, red patchouli, honey, helichrysum, and black rose.",Lupercalia,2016,Info,0
Black Phoenix,Banana Peel in a Graveyard,A banana peel discarded among tombstones and crypts.,Neil Gaiman,The Graveyard Book,Info,0
Black Phoenix,Banded Sea Snake,"Snake Oil with oakmoss, sea moss, white moss, and olive leaf.",Carnaval Diabolique,Act 3: Fiat Nox: The Snakepit,Info,0
Black Phoenix,Baobhan Sith,"Grapefruit, white tea, apple blossom and ginger.",Diabolus,na,Info,0
Black Phoenix,Baron Samedi,our spin on traditional Bay Rum. ,Excolo,na,Info,0
Black Phoenix,Bartholomaeus Anglicus' Phoenix,"The fire of the sacrifice: scorched, honeyed cedar and carob wood aflame with amber, cinnamon, and red sandalwood.",Anniversary,2015,Info,0
Black Phoenix,Baruch's Phoenix,"Atlas cedar, white fig, sugared date, sweet orange, golden honey, white sandalwood, benzoin, galbanum, and bitter almond.",Anniversary,2013,Info,0
Black Phoenix,Bathsheba,"carnation, sensual plum, and Arabian musk.",Ars Amatoria,na,Info,0
Black Phoenix,Becoming Thunder,"Skin musk and 20-year aged frankincense, a sprig of asphodel, a splash of soma, a lightning-streak of sharp ozone, and a stream of ambrosia.",Neil Gaiman,American Gods II,Info,0
Black Phoenix,Beer from the Marsh Woman's Brewery,"A beer flavored with marsh arrow grass, yew berries, purple foxglove, and giant hogweed.",Märchen,The Elfin Hill,Info,0
Black Phoenix,Behind the Veils,"Heady red musk, myrrh and honey, drops of cinnamon and crushed cardamom pod, the taste of opium-laced black wine, sweet oudh, and threads of saffron.",Carnaval Diabolique,Act 4: The Interlude,Info,0
Black Phoenix,"Belgian Chocolate, Orange blossom, Marshmallow, and Jasmine","Belgian Chocolate, Orange blossom, Marshmallow, and Jasmine",Lupercalia,Bonbons 2016,Info,0
